Question	Text	ID	Domain	Type
 robot turn forty five degrees right	turn right 45 degrees 	w-turn_right_45	response	tr
 and turn to the right forty five degrees	turn right 45 degrees 	w-turn_right_45	response	tr
turn to the right forty five degrees	turn right 45 degrees 	w-turn_right_45	response	tr
 turn to the right forty five degrees	turn right 45 degrees 	w-turn_right_45	response	tr
 turn to your right forty five degrees	turn right 45 degrees 	w-turn_right_45	response	tr
okay turn to your right forty five degrees	turn right 45 degrees 	w-turn_right_45	response	tr
turn um forty five degrees <laughter> to your right	turn right 45 degrees 	w-turn_right_45	response	tr
 turn right forty five degrees	turn right 45 degrees 	w-turn_right_45	response	tr
turn to your right forty five degrees	turn right 45 degrees 	w-turn_right_45	response	tr
 and turn a hundred and eighty degrees after that	turn right 180	w-turn_right_180	response	tr
turn right one hundred and eighty degrees	turn right 180	w-turn_right_180	response	tr
turn right one hundred and eighty degrees	turn right 180	w-turn_right_180	response	tr
turn right a hundred and eighty degrees	turn right 180	w-turn_right_180	response	tr
 turn northeast and take a picture turn east and take a picture	turn to face North; turn right 45 degrees; send image	w-turn_North; w-turn_right_45; w-image	response	tr
go north three feet	turn to face North; move forward 3 feet	w-turn_North; w-move_3feet	response	tr
 face north	turn to face North	w-turn_North	response	tr
 face north	turn to face North	w-turn_North	response	tr
turn left sixty degrees	turn left 60 degrees	w-turn_left_degrees (60)	response	tr
 turn left sixty degrees	turn left 60 degrees	w-turn_left_degrees (60)	response	tr
turn left forty degrees	turn left 40 degrees	w-turn_left_degrees (40)	response	tr
 to the left fourty	turn left 35 degrees	w-turn_left_degrees (35)	response	tr
 to the left thirty degrees	turn left 30 degrees	w-turn_left_degrees (30)	response	tr
 turn left thirty degrees	turn left 30 degrees	w-turn_left_degrees (30)	response	tr
 turn thirty degrees to the left	turn left 30 degrees	w-turn_left_degrees (30)	response	tr
 turn thirty degrees to the left	turn left 30 degrees	w-turn_left_degrees (30)	response	tr
 <sigh> turn 20 degrees left	turn left 20 degrees	w-turn_left_degrees (20)	response	tr
 turn left twenty degrees	turn left 20 degrees	w-turn_left_degrees (20)	response	tr
 turn left twenty degrees	turn left 20 degrees	w-turn_left_degrees (20)	response	tr
 turn twenty degrres left	turn left 20 degrees	w-turn_left_degrees (20)	response	tr
turn fff twenty degrees to your left	turn left 20 degrees	w-turn_left_degrees (20)	response	tr
turn left twenty degrees	turn left 20 degrees	w-turn_left_degrees (20)	response	tr
turn to your left a hundred and seventy degrees	turn left 170 degrees	w-turn_left_degrees (170)	response	tr
 turn left fifteen degrees	turn left 15 degrees	w-turn_left_degrees (15)	response	tr
turn left one hundred degrees	turn left 100 degrees	w-turn_left_degrees (100)	response	tr
turn left ten degrees	turn left 10 degrees	w-turn_left_degrees (10)	response	tr
to the left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
 pivot left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn ninety degrees to the left	turn left 90 degrees	w-turn_left_90	response	tr
 turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
 and turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
 <deep breath> turn ninety degrees left	turn left 90 degrees	w-turn_left_90	response	tr
 turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
 turn ninety degrees to the left	turn left 90 degrees	w-turn_left_90	response	tr
robot turn ninety degrees left	turn left 90 degrees	w-turn_left_90	response	tr
 robot turn ninety degrees to the left	turn left 90 degrees	w-turn_left_90	response	tr
 robot turn ninety degrees to the left	turn left 90 degrees	w-turn_left_90	response	tr
robot turn ninety degrees to the left	turn left 90 degrees	w-turn_left_90	response	tr
 robot turn ninety degrees left	turn left 90 degrees	w-turn_left_90	response	tr
 robot turn ninety degrees to the left	turn left 90 degrees	w-turn_left_90	response	tr
 turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
 robot <pause> turn nine <pause> robot turn ninety degrees left	turn left 90 degrees	w-turn_left_90	response	tr
 turn to your left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
rotate to the left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
 move to the room to your left do not take pictures after new movements turn to your left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
 turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn to your left	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left uh ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
 turn left	turn left 90 degrees	w-turn_left_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
 pivot left fourty	turn left 45 degrees	w-turn_left_45	response	tr
 pivot left fourty	turn left 45 degrees	w-turn_left_45	response	tr
 turn left forty five degrees	turn left 45 degrees	w-turn_left_45	response	tr
 turn left forty five degrees	turn left 45 degrees	w-turn_left_45	response	tr
mkay turn left forty five degrees	turn left 45 degrees	w-turn_left_45	response	tr
 turn left forty five <four uh five> degrees	turn left 45 degrees	w-turn_left_45	response	tr
 turn forty five degrees left	turn left 45 degrees	w-turn_left_45	response	tr
 robot turn forty five degrees to the left	turn left 45 degrees	w-turn_left_45	response	tr
 robot turn forty five degrees left	turn left 45 degrees	w-turn_left_45	response	tr
 robot turn forty five <xxx unintelligible> degrees left	turn left 45 degrees	w-turn_left_45	response	tr
turn left one hundred and eighty degrees	turn left 180	w-turn_left_180	response	tr
 turn a hundred and eighty degrees to your left	turn left 180	w-turn_left_180	response	tr
go east twenty feet	turn to face East; move forward 20 feet	w-turn_East; w-move_forward_distance (20 feet)	response	tr
go east three feet	turn to face East; move forward 3 feet	w-turn_East; w-move_3feet	response	tr
turn east	turn to face East	w-turn_East	response	tr
<sigh> face east	turn to face East	w-turn_East	response	tr
<pause> face east	turn to face East	w-turn_East	response	tr
 face east	turn to face East	w-turn_East	response	tr
<pause> turn around and face the door that you just came into	turn 180; move to door	"w-turn_180; w-move_target (""door"")"	response	tr
 turn around and go back out of the door that you came into	turn 180; move to door	"w-turn_180; w-move_target (""door"")"	response	tr
and take a picture behind you	turn 180; send image	w-turn_180; w-image	response	tr
 turn one hundred and eighty degrees	turn 180	w-turn_180	response	tr
 robot turn a hundred eighty degrees	turn 180	w-turn_180	response	tr
 robot turn a hundred and eighty degrees	turn 180	w-turn_180	response	tr
turn around a hundred and eighty degrees	turn 180	w-turn_180	response	tr
turn around one hundred and eighty degrees	turn 180	w-turn_180	response	tr
turn around one hundred and eighty degrees	turn 180	w-turn_180	response	tr
turn around and go back the opposite direction	turn 180	w-turn_180	response	tr
end session	end task	w-task_end	response	tr
end session	end task	w-task_end	response	tr
uh recalibrate	calibrate	w-task_calibrate	response	tr
calibrate	calibrate	w-task_calibrate	response	tr
robot stop	stop	w-stop	response	tr
nope stop stop	stop	w-stop	response	tr
stop	stop	w-stop	response	tr
go back to the start point	return to starting point	w-return_start	response	tr
robot go back to the start	return to starting point	w-return_start	response	tr
go back to your starting position	return to starting point	w-return_start	response	tr
return to your starting position	return to starting point	w-return_start	response	tr
 rotate three hundred and sixty degrees to your right taking a picture every forty five degrees	Do the following 8 times: turn right 45 degrees; send image	w-repeat_command_iteration(8:  w-turn_right_45; w-image)	response	tr
 rotate three hundred and sixty degrees taking a picture every fourty	Do the following 8 times: turn left 45 degrees; send image	w-repeat_command_iteration(8:  w-turn_left_45; w-image)	response	tr
 rotate three hundred and sixty degrees to your left taking a picture every forty	Do the following 8 times: turn left 45 degrees; send image	w-repeat_command_iteration(8:  w-turn_left_45; w-image)	response	tr
 rotate three hundred and sixty degrees to your left taking a picture every forty	Do the following 8 times: turn left 45 degrees; send image	w-repeat_command_iteration(8:  w-turn_left_45; w-image)	response	tr
 rotate three hundred and sixty degrees to your left taking a picture every forty	Do the following 8 times: turn left 45 degrees; send image	w-repeat_command_iteration(8:  w-turn_left_45; w-image)	response	tr
 rotate three hundred and sixty degrees to your left taking a picture every forty	Do the following 8 times: turn left 45 degrees; send image	w-repeat_command_iteration(8:  w-turn_left_45; w-image)	response	tr
 pivot three hundred and sixty degrees to your right taking a picture every forty	Do the following 8 times: turn left 45 degrees; send image	w-repeat_command_iteration(8:  w-turn_left_45; w-image)	response	tr
 rotate three hundred and sixty degrees to your left taking a picture every forty	Do the following 8 times: turn left 45 degrees; send image	w-repeat_command_iteration(8:  w-turn_left_45; w-image)	response	tr
 pivot left one hundred er correction pivot right one hundred and eighty degrees taking a picture every forty	Do the following 4 times: turn right 45 degrees; send image	w-repeat_command_iteration(4:  w-turn_right_45; w-image)	response	tr
 pivot one hundred and eighty degrees taking a picture every fourty	Do the following 4 times: turn left 45 degrees; send image	w-repeat_command_iteration(4:  w-turn_left_45; w-image)	response	tr
 pivot left one hundred and eighty degrees taking a picture every fourty	Do the following 4 times: turn left 45 degrees; send image	w-repeat_command_iteration(4:  w-turn_left_45; w-image)	response	tr
 rotate left one hundred and eighty degrees taking a picture every forty	Do the following 4 times: turn left 45 degrees; send image	w-repeat_command_iteration(4:  w-turn_left_45; w-image)	response	tr
 rotate right ninety degrees taking a picture every forty	Do the following 2 times: turn right 45 degrees; send image	w-repeat_command_iteration(2:  w-turn_right_45; w-image)	response	tr
 pivot right ninety degrees taking a picture every forty	Do the following 2 times: turn right 45 degrees; send image	w-repeat_command_iteration(2:  w-turn_right_45; w-image)	response	tr
 go left two feet go left two feet I want you to move around yellow cone and go forward <pause> two feet yes do that move	move to yellow cone; turn right 90 degrees; move forward 1 foot; turn right 90 degrees; move forward 2 feet	w-move_yellow_cone; w-turn_right_90; w-move_1feet; w-move_left_90; w-move_2feet	response	tr
robot continue down this hallway to the next doorway on the left	move to the end of the TV hallway; move to next door on left	"w-move_tv_hall_end; w-move_target (""next door on left"")"	response	tr
 go back out into the hallway through the door on your right	move to hallway via door on right	"w-move_target_path (target=""hallway"", path=""door on right"")"	response	tr
go to the other door	move to other door	w-move_target (other door)	response	tr
go through the other door	move to other door	w-move_target (other door)	response	tr
 go further inside the doorway to your left about <pause> four feet	move to the room; turn left 90 degrees; move forward 4 feet	"w-move_target (""the room""); w-turn_left_90; w-move_forward_distance (4 feet)"	response	tr
move to the right side of the orange cone	move to the right side of the orange cone	"w-move_target (""the right side of the orange cone"") "	response	tr
face the left side of the orange cone	move to the left side of the orange cone	"w-move_target (""the left side of the orange cone"") "	response	tr
move to the end of the hallway	move to the left end of hallway	"w-move_target (""the left end of hallway""); "	response	tr
the doorway to your right	move to the doorway to the right	"w-move_target (""the doorway to the right"")"	response	tr
 go back to your left and go to the first doorway that you see the doorway immediately to your left	move to the doorway closest to you and to the left	"w-move_target (""the doorway closest to you and to the left"") "	response	tr
 and continue to second doorway	move to second doorway	"w-move_target (""second doorway"")"	response	tr
 robot continue to the second doorway in the hallway	move to second doorway	"w-move_target (""second doorway"")"	response	tr
move to the second doorway on the left	move to second doorway on the left	"w-move_target (""second doorway on the left"")"	response	tr
 enter the room	move to room	"w-move_target (""room"")"	response	tr
move forward to red pail	move to red bucket	"w-move_target (""red bucket"")"	response	tr
now move to the second orange cone at the end of the hallway	move to other object at the end of the hallway	"w-move_target (""other object at the end of the hallway"")"	response	tr
 change of command turn back around and go <laughter> <pause> back down the end of the hallway	move to other end of hallway	"w-move_target (""other end of the hallway"")"	response	tr
move to orange cone in doorway	move to orange cone in the first doorway	"w-move_target (""orange cone in the first doorway"")"	response	tr
 turn around and take another photo a closer look at those dvds or those boxes on top of the wood	move to objects; send image	"w-move_target (""objects""); w-image"	response	tr
 go back out of the door and proceed down further down the hallway to the next door <pause> on your right	move to next doorway on your right via returning to the hall	"w-move_target (""next doorway on your right by returning to the hall"")"	response	tr
 find next doorway on your left	move to next doorway on left	"w-move_target (""next doorway on left"")"	response	tr
 go to nearest doorway	move to nearest doorway	"w-move_target (""nearest doorway"")"	response	tr
go to the nearest orange object	move to nearest cone	"w-move_target (""nearest cone"")"	response	tr
 turn around and go back the opposite direction move to the middle of the building yes	move to middle of the alley	"w-move_target (""middle of the alley"")"	response	tr
robot return to the main hallway	move to hallway from entrance you came in	"w-move_target (""hallway from entrance you came in"")"	response	tr
move down the hallway to your left <pause> ffff twenty feet	move to hall to the left; move forward 20 feet	"w-move_target (""hall to the left""); w-move_forward_distance (20 feet)"	response	tr
 go to the first orange cone on your right	move to first orange cone on right	"w-move_target (""first orange cone on right"")"	response	tr
robot continue to the first doorway	move to first doorway	"w-move_target (""first doorway"")"	response	tr
move to the first cone on your left	move to first cone on left	"w-move_target (""first cone on left"")"	response	tr
 go to the farthest orange object	move to farthest cone	"w-move_target (""farthest cone"")"	response	tr
move to the end of the hallway	move to end of the hallway	"w-move_target (""end of the hallway"")"	response	tr
move to the end of the hall	move to end of the hall ahead	"w-move_target (""end of the hall ahead"")"	response	tr
 continue to move down the hallway go down the end of the hallway where it appears to be a clock on the wall	move to end of hallway; turn to face clock	"w-move_target (""end of hallway""); w-turn_target (clock) OR w-move_clock"	response	tr
go to end of hallway	move to end of hallway in front of you	"w-move_target (""end of hallway in front of you"")"	response	tr
move to the doorway like opening	move to doorway	"w-move_target (""doorway"")"	response	tr
 go through doorway directly in front through doorway like opening directly in front of you	move to doorway	"w-move_target (""doorway"")"	response	tr
 go through doorway on left	move to doorway	"w-move_target (""doorway"")"	response	tr
 continue down the hallway to the first entrance on the left first doorway on the left the doorway immediately to your left	move to doorway to left	"w-move_target (""doorway to left"")"	response	tr
 and face the doorway at the other end of the room <pause>	move to doorway on the right side of the room	"w-move_target (""doorway on the right side of the room"")"	response	tr
go in to the door on your left	move to doorway on the left	"w-move_target (""doorway on the left""); "	response	tr
go out into the center of the hallway on your left	move to center of the hallway on your left	"w-move_target (""center of the hallway on your left"")"	response	tr
proceed to yellow cone <inhale> and stop	move forward until parallel with yellow cone	"w-move_parallel_target (""yellow cone"")"	response	tr
the wall straight ahead	move to front wall ahead	w-move_front_wall	response	tr
 and continue forward until you reach the wall	move to front wall ahead	w-move_front_wall	response	tr
 go to the wall facing you	move to front wall ahead	w-move_front_wall	response	tr
 robot go to that white sign that's in the picture and take a picture of it also do you speak any other languages go to the end of the hallway that is to your right and take a picture of the white sign that's on the doorway or on the uh wall	move forward to white sign at the end of the hallway to your right; send image	"w-move_forward_target (""white sign at the end of the hallway to your right""); w-image"	response	tr
 robot continue <pause> moving forward to the right of the red bucket	move forward to space to the right of bucket	"w-move_forward_target (""space to the right of bucket"")"	response	tr
 move forward into the room on your right	move forward to room through the closest door at right	"w-move_forward_target (""room through the closest door at right"")"	response	tr
 go into the room in front of you	move forward to room in front of you	"w-move_forward_target (""room in front of you"")"	response	tr
go into the room in front of you	move forward to room ahead	"w-move_forward_target (""room ahead"");"	response	tr
move into the room to your right	move forward to room ahead on the right	"w-move_forward_target (""room ahead on the right""); "	response	tr
 go to the room that's on your right uh there is a white door and a red sign	move forward to red sign on the white door on your right	"w-move_forward_target (""red sign on the white door on your right"")"	response	tr
robot proceed to the other doorway	move forward to other doorway	"w-move_forward_target (""other doorway"");"	response	tr
move forward and stop in front of orange object	move forward to orange object; send image	"w-move_forward_target (""orange object""); w-image"	response	tr
proceed forward to orange cone	move forward to orange cone ahead	"w-move_forward_target (""orange cone ahead"")"	response	tr
move forward into the next room	move forward to next space	"w-move_forward_target (""next space"")"	response	tr
move forward into the next room	move forward to next space ahead	"w-move_forward_target (""next space ahead"")"	response	tr
move forward into the next room	move forward to next room	"w-move_forward_target (""next room"")"	response	tr
move to the hallway in the doorway in front of you	move forward to hallway through the doorway in front of you	"w-move_forward_target (""hallway through the doorway in front of you"");"	response	tr
 go through the hallway in front of you	move forward to hallway in front of you	"w-move_forward_target (""hallway in front of you"")"	response	tr
first doorway on left	move forward to first doorway on the left	"w-move_forward_target (""first doorway on the left"")"	response	tr
 turn to your right and go down the hallway go through the doorway to your right	move forward to doorway to your right	"w-move_forward_target (""doorway to your right"")"	response	tr
 pivot right forty five degrees and go through the doorway on your right	move forward to doorway on the right	"w-move_forward_target (""doorway on the right"")"	response	tr
face the door on your right	move forward to doorway on the right	"w-move_forward_target (""doorway on the right"")"	response	tr
go through the doorway on your left	move forward to doorway on the left	"w-move_forward_target (""doorway on the left"")"	response	tr
 go through the doorway on your left	move forward to doorway on the left	"w-move_forward_target (""doorway on the left"")"	response	tr
 go through the door on your right	move forward to doorway on right	"w-move_forward_target (""doorway on right"")"	response	tr
go through the doorway on your left	move forward to doorway on left	"w-move_forward_target (""doorway on left"")"	response	tr
move through the doorway directly in front of you	move forward to doorway in front of you	"w-move_forward_target (""doorway in front of you"")"	response	tr
go through doorway in front	move forward to doorway in front of you directly	"w-move_forward_target (""doorway in front of you directly"")"	response	tr
 face the doorway in front of you and to your right	move forward to doorway in front of you and to the right	"w-move_forward_target (""doorway in front of you and to the right"")"	response	tr
go forward through the doorway	move forward to doorway ahead	"w-move_forward_target (""doorway ahead"")"	response	tr
go through doorway	move forward to doorway ahead of you	"w-move_forward_target (""doorway ahead of you"")"	response	tr
go through the doorway on your left front	move forward to doorway ahead of you on the left	"w-move_forward_target (""doorway ahead of you on the left"")"	response	tr
<pause> proceed into the door to your right	move forward to door on your right	"w-move_forward_target (""door on your right"")"	response	tr
 face the door in front of you and then take a picture	move forward to door in front of you; send image	"w-move_forward_target (""door in front of you""); w-image"	response	tr
move forward to the cone	move forward to cone	"w-move_forward_target (""cone"")"	response	tr
 move to where you see the first cone <pause> move to the cone on the right a red cone on the right	move forward to cone on the right	"w-move_forward_target (""cone on the right"")"	response	tr
 move forward seven feet	move forward 7 feet	w-move_forward_distance (7 feet)	response	tr
 move forward four feet	move forward 4 feet	w-move_forward_distance (4 feet)	response	tr
 and move forward <pause> four feet	move forward 4 feet	w-move_forward_distance (4 feet)	response	tr
go forward four feet	move forward 4 feet	w-move_forward_distance (4 feet)	response	tr
go forward four feet	move forward 4 feet	w-move_forward_distance (4 feet)	response	tr
 robot proceed two meters	move forward 2 meters	w-move_forward_distance (2 meters)	response	tr
move forward fifteen feet	move forward 15 feet	w-move_forward_distance (15 feet)	response	tr
move forward ten feet	move forward 10 feet	w-move_forward_distance (10 feet);	response	tr
go forward a foot and a half	move forward 1.5 feet	w-move_forward_distance (1.5 feet)	response	tr
 move closer to the hard hats about four feet	move 4 feet towards easel with hardhats	"w-move_dist_towards_goal (dist=4 feet, goal=easel with hardhats)"	response	tr
 move closer to the table three feet	move 3 feet towards table	"w-move_dist_towards_goal (dist=3 feet, goal=table)"	response	tr
 move closer to the door towards the fire extinguisher take a picture about three feet	move 3 feet towards fire extinguisher	"w-move_dist_towards_goal (dist=3 feet, goal=fire extinguisher)"	response	tr
 move to the middle of the room	move into the center of the current room	w-move_center	response	tr
 go to the center of the room	move into the center of the current room	w-move_center	response	tr
back up to the wall behind you	move back to back wall behind you	w-move_back_wall	response	tr
back up to the wall behind you	move back to back wall behind you	w-move_back_wall	response	tr
 go back into the room	move back to room	"w-move_back_target (""room"")"	response	tr
 go back out into the hallway	move back to hall	"w-move_back_target (""hall"")"	response	tr
move back out of the doorway	move back to doorway	"w-move_back_target (""doorway"")"	response	tr
go back out of the door that you came into	move back to door you just came through	"w-move_back_target (""door you just came through"")"	response	tr
 back up five feet	move back 5 feet	w-move_back_distance (5 feet);	response	tr
 back up five feet	move back 5 feet	w-move_back_distance (5 feet);	response	tr
back up five feet	move back 5 feet	w-move_back_distance (5 feet);	response	tr
back up five feet	move back 5 feet	w-move_back_distance (5 feet);	response	tr
back up five feet	move back 5 feet	w-move_back_distance (5 feet);	response	tr
go back three feet	move back 3 feet	w-move_back_distance (3 feet); 	response	tr
back up three feet	move back 3 feet	w-move_back_distance (3 feet);	response	tr
back up three feet	move back 3 feet	w-move_back_distance (3 feet);	response	tr
 back up three feet	move back 3 feet	w-move_back_distance (3 feet);	response	tr
 back up three feet	move back 3 feet	w-move_back_distance (3 feet);	response	tr
back up three feet	move back 3 feet	w-move_back_distance (3 feet);	response	tr
go back two feet	move back 2 feet	w-move_back_distance (2 feet); 	response	tr
 go backwards <pause> two feet	move back 2 feet	w-move_back_distance (2 feet); 	response	tr
back up two feet	move back 2 feet	w-move_back_distance (2 feet);	response	tr
 back up two feet	move back 2 feet	w-move_back_distance (2 feet)	response	tr
back up two feet	move back 2 feet	w-move_back_distance (2 feet)	response	tr
please back up one foot	move back 1 foot	w-move_back_1foot	response	tr
 and move forward five feet	move forward 5 feet	w-move_5feet	response	tr
go forward five feet	move forward 5 feet	w-move_5feet	response	tr
 and go forward five feet	move forward 5 feet	w-move_5feet	response	tr
go forward five feet	move forward 5 feet	w-move_5feet	response	tr
go forward five feet	move forward 5 feet	w-move_5feet	response	tr
 move forward five feet	move forward 5 feet	w-move_5feet	response	tr
 move forward five feet	move forward 5 feet	w-move_5feet	response	tr
 move forward five feet	move forward 5 feet	w-move_5feet	response	tr
 move forward five feet	move forward 5 feet	w-move_5feet	response	tr
move forward five feet	move forward 5 feet	w-move_5feet	response	tr
 move forward five feet	move forward 5 feet	w-move_5feet	response	tr
 move forward five feet	move forward 5 feet	w-move_5feet	response	tr
 move forward <pause> five feet	move forward 5 feet	w-move_5feet	response	tr
 move forward five feet	move forward 5 feet	w-move_5feet	response	tr
move forward five feet	move forward 5 feet	w-move_5feet	response	tr
go forward five feet	move forward 5 feet	w-move_5feet	response	tr
 move forward three feet	move forward 3 feet	w-move_3feet	response	tr
 move forward three feet	move forward 3 feet	w-move_3feet	response	tr
 move forward three feet	move forward 3 feet	w-move_3feet	response	tr
 move forward three feet	move forward 3 feet	w-move_3feet	response	tr
move forward three feet	move forward 3 feet	w-move_3feet	response	tr
